Questions,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73,R74,R75,R76,R77,R78,R79,R80,R81,R82,R83,R84,R85,R86,R87,R88,R89,R90,R91,R92,R93,R94,R95,R96,R97,R98,R99,R100,R101,R102,R103,R104,R105,R106,R107,R108,R109,R110,R111,R112,R113,R114,R115,R116,R117,R118,R119,R120,R121,R122,R123,R124,R125,R126,R127,R128,R129,R130,R131,R132,R133,R134,R135,R136,R137,R138,R139,R140,R141,R142,R143,R144,R145,R146,R147,R148,R149,R150,R151,R152,R153,R154,R155,R156,R157,R158,R159,R160,R161,R162,R163,R164,R165,R166,R167,R168,R169,R170,R171,R172,R173,R174,R175,R176,R177,R178,R179,R180,R181,R182,R183,R184,R185,R186,R187,R188,R189,R190,R191,R192,R193,R194,R195,R196,R197,R198,R199,R200,R201,R202,R203,R204,R205,R206,R207,R208,R209,R210
Age,14,13,12,13,14,13,14,15,14,14,14,14,15,14,14,14,14,13,13,13,14,14,13,13,14,12,12,13,14,13,13,12,13,13,13,14,13,13,12,12,12,15,15,13,13,14,14,13,12,13,14,13,13,14,13,12,15,13,13,13,13,12,13,14,13,13,13,12,13,13,14,12,12,13,13,13,13,14,13,13,13,12,13,13,13,12,13,13,12,13,13,13,13,14,13,12,12,12,12,13,14,13,14,14,13,14,13,14,14,14,13,14,14,14,14,14,14,14,13,15,14,13,13,14,13,14,14,12,13,13,13,13,13,14,13,13,13,13,12,13,13,13,13,12,13,13,14,13,15,14,14,14,14,13,14,14,14,13,14,13,14,14,14,15,14,14,14,13,14,14,14,14,14,15,14,14,13,14,14,13,14,15,15,14,14,13,14,12,13,14,14,14,14,13,14,14,13,15,12,13,14,14,12,12,14,14,12,13,13,13
Gender,M,M,M,F,F,F,F,F,F,F,F,M,F,F,F,F,F,M,M,M,M,M,M,M,F,M,M,M,M,M,F,F,M,F,F,M,F,M,F,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,F,M,F,F,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,F,F,F,F,F,F,F,F,F,F,F,F
"1. Is anything making you feel overwhelmed or confused these days? On a scale of 0–10, how would you rate your mood today?",B,A,C,C,C,B,A,C,B,A,B,D,B,A,C,B,C,C,B,C,A,C,C,D,B,C,B,B,C,B,B,C,B,B,A,C,C,D,A,B,A,C,C,B,D,A,A,A,C,A,C,D,C,B,C,B,C,C,C,B,B,B,C,C,B,B,B,D,C,B,B,B,B,C,B,B,B,C,D,C,B,D,C,B,A,B,C,D,C,B,A,C,B,C,C,A,C,B,B,B,B,B,C,B,B,B,A,A,B,A,B,C,D,D,B,A,C,B,B,C,B,B,B,B,B,B,B,B,D,B,A,C,C,A,A,D,A,A,C,D,A,A,A,C,B,A,C,B,C,B,C,D,C,D,B,B,A,C,C,B,B,C,D,C,C,B,B,A,B,B,C,C,D,B,C,C,C,A,B,B,B,C,D,B,D,C,C,D,B,B,B,B,B,C,C,C,C,C,D,D,B,B,C,C,B,A,B,B,C,B
2. What is the amount of freedom you think you have ?,B,C,B,D,A,A,B,B,B,B,B,B,B,C,C,B,C,B,B,B,C,B,B,B,B,C,B,C,C,C,B,B,B,A,B,B,B,B,B,B,B,B,B,A,C,A,A,B,B,B,B,B,C,B,B,A,C,C,C,A,A,C,B,B,B,C,C,A,B,B,B,B,B,D,B,A,B,B,B,B,D,B,B,B,B,A,D,B,B,B,A,B,D,A,B,C,A,C,B,B,B,B,A,B,B,B,B,B,B,C,D,D,B,B,A,A,C,C,B,B,B,B,B,B,B,C,C,A,B,A,B,B,B,B,A,B,A,A,B,B,C,D,B,A,B,A,C,B,B,C,C,C,B,A,B,C,B,B,B,B,B,B,B,A,B,B,B,B,C,C,B,D,B,B,C,B,B,A,D,B,B,B,B,B,B,B,A,B,B,C,A,B,B,C,B,B,B,B,A,A,D,C,C,B,B,B,B,B,A,C
3. Do you sometimes feel a bit of pressure at school?,C,B,C,B,D,C,C,C,B,C,B,C,C,A,B,B,B,B,C,A,C,A,A,A,D,A,B,B,A,C,B,B,C,B,B,C,B,D,B,D,C,B,B,B,B,C,B,B,D,C,B,A,C,C,B,B,B,C,C,B,D,C,C,C,B,B,B,C,D,B,B,C,C,C,B,C,B,D,C,C,D,C,C,C,C,B,D,B,B,B,B,B,B,B,B,A,C,B,C,B,B,B,D,C,B,D,C,C,C,A,B,D,B,B,B,B,B,B,D,D,C,B,C,B,B,B,A,C,C,B,B,C,A,B,A,A,C,B,A,C,C,A,C,C,C,B,B,B,C,C,B,B,B,D,A,B,B,C,B,B,B,C,B,C,C,D,C,C,B,A,C,C,D,C,D,C,D,B,A,C,B,B,B,B,B,C,C,D,C,C,C,C,C,C,C,A,D,B,C,A,C,B,D,B,B,B,C,C,C,C
4. Do you feel pressured in any way by Friends?,D,C,C,D,D,D,D,D,B,C,C,D,D,B,B,C,D,B,C,D,D,D,B,D,B,D,D,B,B,B,B,B,D,D,D,D,D,B,D,D,C,C,C,D,C,A,D,D,D,D,D,B,D,B,D,D,C,D,C,C,D,C,D,D,C,C,D,D,C,B,B,B,C,D,C,D,B,D,B,D,D,D,D,C,C,D,D,C,C,C,D,D,D,D,D,A,B,B,C,C,C,C,C,D,B,C,D,D,D,A,D,D,D,D,B,C,C,A,D,B,B,C,C,A,D,D,B,C,D,C,B,D,C,A,D,D,C,D,A,D,D,A,B,D,D,B,A,C,D,D,A,B,C,D,B,D,B,D,C,D,D,D,D,D,D,D,D,D,B,A,B,B,D,D,D,D,D,A,D,D,D,B,D,B,D,B,D,D,D,B,D,D,D,D,D,C,D,C,D,A,D,D,B,C,B,C,C,C,A,B
5. Do you feel pressured in any way by Self?,C,B,D,C,B,C,C,D,A,A,B,C,C,A,C,A,B,C,D,B,D,D,B,D,C,A,C,B,B,A,B,C,D,B,C,D,C,D,B,B,B,C,A,B,D,C,C,C,C,C,D,A,D,C,C,B,C,D,B,C,D,B,C,D,B,A,B,D,B,C,C,C,A,C,B,B,B,C,C,D,B,D,C,B,A,B,B,D,B,C,C,D,C,C,D,B,D,B,D,C,B,A,D,C,C,B,D,A,D,B,B,B,C,C,D,A,C,C,A,A,C,C,B,A,A,A,A,D,C,C,B,C,D,D,C,B,C,D,A,B,B,A,A,B,B,A,C,B,D,B,D,D,D,D,D,B,B,B,C,B,C,D,D,D,C,D,B,C,A,A,C,C,D,B,A,B,C,A,C,B,D,C,C,B,C,B,B,C,D,C,B,C,C,C,B,D,C,A,D,A,A,C,B,D,B,C,B,C,B,D
6. Do you ever feel pressure coming from home?,D,D,A,B,C,D,D,C,B,B,B,D,C,A,D,A,B,B,C,C,C,D,C,C,D,A,B,B,A,D,C,B,C,B,A,D,D,C,C,C,C,D,A,D,A,A,B,D,D,D,D,A,B,B,C,C,C,B,B,C,D,C,C,D,D,B,C,D,D,C,D,A,A,D,A,D,C,D,D,C,C,B,D,D,D,B,C,D,C,D,D,C,A,C,C,A,D,C,C,A,C,C,C,B,D,D,D,C,D,B,B,B,B,D,C,B,B,D,C,C,D,D,D,B,A,B,A,D,D,C,C,C,D,D,A,B,D,D,C,D,D,A,D,C,D,B,C,D,C,B,B,C,C,D,C,C,A,A,B,A,D,D,D,C,D,D,D,D,D,C,B,B,D,C,C,C,C,A,D,D,A,C,D,C,C,C,C,D,D,D,D,C,B,B,B,D,D,C,D,A,B,D,D,D,C,D,C,D,C,C
7. Do you feel like doing the things you usually enjoy?,A,C,A,B,B,B,B,A,D,A,A,B,B,B,A,B,B,A,B,A,B,D,A,B,A,D,A,A,A,A,C,B,B,C,A,A,B,A,D,A,A,D,C,B,B,B,A,A,B,B,B,B,A,B,C,A,C,A,B,A,A,B,A,B,B,A,A,B,B,A,A,A,D,B,A,B,A,B,B,B,A,A,B,B,A,A,C,B,B,B,C,B,A,A,A,A,A,B,B,A,B,B,B,B,B,B,A,A,A,A,C,C,A,A,A,C,A,D,A,D,C,C,A,B,B,A,A,B,C,A,A,A,A,B,C,D,B,A,B,B,A,D,A,A,B,B,B,A,A,C,C,B,B,A,A,A,D,A,A,A,A,B,B,A,B,A,A,A,A,A,B,A,B,A,C,B,B,C,B,A,A,A,D,B,B,A,A,A,D,B,A, B,B,A,B,B,B,A,A,B,D,A,A,B,C,C,A,A,B,A
8. Do small things make you angry quickly?,A,B,B,D,A,C,C,C,B,A,B,D,B,A,C,B,D,B,C,C,B,D,C,C,A,A,C,A,C,A,B,C,C,B,C,C,B,C,C,B,C,B,D,C,D,D,A,B,D,B,C,A,D,D,C,B,D,D,B,B,A,C,C,C,B,A,D,C,A,B,C,B,D,A,B,A,B,A,C,B,A,A,B,C,A,B,A,A,B,A,C,C,A,A,C,C,C,C,C,A,A,D,C,A,A,C,C,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,C,B,B,D,A,B,D,D,C,D,D,D,B,C,D,D,D,C,A,C,A,B,A,B,A,B,D,D,A,C,C,D,A,D,B,B,C,D,D,C,C,B,A,D,D,D,B,A,D,B,D,B,D,C,C,D,B,D,B,B ,D,B,C,A,D,D,C,A,B,B,D,B,A,C,C,D,C,A,C,A,D,D,B,B,A,B,D,B
